def(LITE),
!def(lint),
def(BITMAPDEBUG),
def(NO_LOCALE_H),
True,
!def(BITMAPDEBUG),
def(VMS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(NO_LOCALE_H),
def(PIPES),
(def(VMS)&!def(MSDOS)),
!def(LITE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(MSDOS),
!def(HAVE_ERF),
def(TEST_TIME),
!def(BADRAND),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERFC),
def(TEST_TERMDOC),
def(TEST_STRFTIME),
def(MSDOS),
def(BADRAND),
!def(USE_SYSTEM_TIME),
def(_Windows),
def(__ZTC__),
