!def(BITMAPDEBUG),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
def(PIPES),
def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(LITE),
def(PM3D),
!def(BADRAND),
def(TEST_TERMDOC),
def(VMS),
def(MSDOS),
True,
(!def(MSDOS)&!def(VMS)),
def(RELEASE_VERSION),
!def(HAVE_ERF),
def(_Windows),
!def(lint),
def(BADRAND),
!def(USE_SYSTEM_TIME),
!def(MSDOS),
def(PIPE_IPC),
!def(HAVE_ERFC),
def(USE_MOUSE),
def(__ZTC__),
def(TEST_TIME),
