!def(RELEASE_VERSION),
!def(HAVE_ERF),
def(RELEASE_VERSION),
def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(LITE),
def(BADRAND),
def(BITMAPDEBUG),
!def(lint),
True,
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(USE_SYSTEM_TIME),
def(PM3D),
def(USE_MOUSE),
def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
def(PIPES),
(!def(MSDOS)&!def(VMS)),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
!def(MSDOS),
def(MSDOS),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
def(TEST_STRFTIME),
def(PIPE_IPC),
def(TEST_TERMDOC),
!def(BITMAPDEBUG),
!def(BADRAND),
def(VMS),
def(__ZTC__),
