!def(BADRAND),
def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PROTOTYPES),
def(PIPE_IPC),
(def(VMS)&!def(BSD)),
!def(HAVE_ERFC),
def(RELEASE_VERSION),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)),
def(PIPES),
!def(MSDOS),
def(TEST_STRFTIME),
True,
def(MSDOS),
def(USE_SYSTEM_TIME),
def(VMS),
!def(LITE),
def(USE_MOUSE),
def(TEST_TIME),
def(PM3D),
def(_Windows),
def(BITMAPDEBUG),
!def(PROTOTYPES),
!def(HAVE_ERF),
!def(lint),
!def(RELEASE_VERSION),
