def(EAM_DATASTRINGS),
def(GP_MACROS),
!def(__PUREC__),
def(BITMAPDEBUG),
def(EAM_HISTOGRAMS),
def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
!def(BITMAPDEBUG),
def(BINARY_DATA_FILE),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
!def(USE_SYSTEM_TIME),
(!def(PIPE_IPC)&def(__ZTC__)),
(!def(APOLLO)&def(GP_STRING_VARS)),
def(TEST_TERMDOC),
def(MSDOS),
def(__PUREC__),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
def(PIPES),
def(GP_STRING_VARS),
def(TEST_STRFTIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(BINARY_DATA_FILE),
!def(LITE),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
!def(MSDOS),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
def(TEST_TIME),
def(AMIGA_AC_5),
!def(EAM_HISTOGRAMS),
def(_Windows),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
(!def(PIPE_IPC)&def(VMS)),
!def(AMIGA_SC_6_1),
!def(lint),
def(PM3D),
def(USE_MOUSE),
