!def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
!def(HAVE_ERFC),
def(TEST_TERMDOC),
(def(X11)&def(USE_MOUSE)),
True,
def(BITMAPDEBUG),
def(BADRAND),
def(NO_LOCALE_H),
!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(VMS),
def(PIPES),
def(__ZTC__),
!def(lint),
def(_Windows),
def(USE_SYSTEM_TIME),
def(TEST_TIME),
!def(BADRAND),
def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
def(TEST_STRFTIME),
!def(MSDOS),
!def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
!def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
!def(LITE),
def(PM3D),
