!def(LITE),
def(LITE),
!def(USE_SYSTEM_TIME),
def(_Windows),
!def(HAVE_ERF),
def(MSDOS),
def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
(!def(MSDOS)&!def(VMS)),
!def(BITMAPDEBUG),
True,
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(__ZTC__),
!def(MSDOS),
(def(VMS)&!def(BSD)),
!def(BADRAND),
(def(VMS)&!def(MSDOS)),
!def(NO_LOCALE_H),
def(VMS),
def(TEST_TERMDOC),
def(NO_LOCALE_H),
def(TEST_TIME),
def(PIPES),
!def(lint),
def(BITMAPDEBUG),
def(TEST_STRFTIME),
def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
