!def(PROTOTYPES),
def(_Windows),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
!def(RELEASE_VERSION),
True,
def(PM3D),
def(__ZTC__),
!def(LITE),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
def(TEST_TERMDOC),
def(USE_SYSTEM_TIME),
def(USE_MOUSE),
!def(lint),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PROTOTYPES),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
def(MSDOS),
def(RELEASE_VERSION),
!def(MSDOS),
def(TEST_STRFTIME),
def(PIPE_IPC),
!def(GP_ISVAR),
def(PIPES),
def(VMS),
