!def(HAVE_ERFC),
!def(USE_SYSTEM_TIME),
!def(LITE),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
def(USE_MOUSE),
!def(BADRAND),
!def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(lint),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PROTOTYPES),
def(__ZTC__),
True,
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
!def(HAVE_ERF),
def(PIPES),
def(VMS),
def(BITMAPDEBUG),
def(_Windows),
def(BADRAND),
(def(VMS)&!def(MSDOS)),
def(PM3D),
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
def(MSDOS),
def(RELEASE_VERSION),
!def(RELEASE_VERSION),
!def(PROTOTYPES),
