!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(MSDOS),
def(TEST_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(MSDOS),
def(NO_LOCALE_H),
def(__ZTC__),
!def(NO_LOCALE_H),
def(PIPE_IPC),
!def(LITE),
!def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
def(TEST_STRFTIME),
!def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(X11)&def(USE_MOUSE)),
def(PIPES),
def(BADRAND),
def(TEST_TERMDOC),
(def(VMS)&!def(BSD)),
True,
def(VMS),
def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
!def(HAVE_ERF),
def(RELEASE_VERSION),
!def(lint),
def(_Windows),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
def(PM3D),
