def(__ZTC__),
!def(lint),
!def(RELEASE_VERSION),
def(PM3D),
def(BITMAPDEBUG),
def(USE_MOUSE),
def(BADRAND),
def(PIPE_IPC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
!def(PROTOTYPES),
def(TEST_TIME),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
True,
def(VMS),
def(TEST_STRFTIME),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)),
def(PROTOTYPES),
!def(LITE),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
def(TEST_TERMDOC),
def(MSDOS),
!def(BITMAPDEBUG),
!def(MSDOS),
!def(HAVE_ERF),
def(RELEASE_VERSION),
def(PIPES),
def(_Windows),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
