def(TEST_TERMDOC),
def(EAM_OBJECTS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(GPLT_X11_MODE),
(!def(AMIGA_SC_6_1)&!def(LITE)),
!def(lint),
def(RELEASE_VERSION),
!def(LITE),
def(TEST_TIME),
def(__PUREC__),
def(MSDOS),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
def(PIPES),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(BSD)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
(!def(PIPE_IPC)&def(__ZTC__)),
!def(HAVE_LOCALE_H),
def(GNUPLOT_HISTORY),
def(WITH_IMAGE),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(EAM_HISTOGRAMS),
(def(VMS)&!def(MSDOS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(HAVE_LOCALE_H),
!def(OLDUNSETTICS),
(!def(PIPE_IPC)&def(VMS)),
def(OLDUNSETTICS),
def(PM3D),
def(GP_MACROS),
def(_Windows),
def(PIPE_IPC),
True,
def(EAM_HISTOGRAMS),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
def(AMIGA_AC_5),
!def(__PUREC__),
def(EAM_DATASTRINGS),
def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(BINARY_DATA_FILE),
!def(WITH_IMAGE),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
def(TEST_STRFTIME),
!def(GP_STRING_VARS),
!def(BITMAPDEBUG),
!def(RELEASE_VERSION),
def(GP_STRING_VARS),
(!def(MSDOS)&!def(VMS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(BACKWARDS_COMPATIBLE),
!def(USE_SYSTEM_TIME),
!def(AMIGA_SC_6_1),
!def(BINARY_DATA_FILE),
!def(MSDOS),
!def(GNUPLOT_HISTORY),
def(USE_MOUSE),
def(EXTENDED_COLOR_SPECS),
!def(EXTENDED_COLOR_SPECS),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
