def(NO_LOCALE_H),
def(TEST_STRFTIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
def(USE_SYSTEM_TIME),
!def(BADRAND),
def(PM3D),
True,
!def(HAVE_ERF),
def(USE_MOUSE),
def(_Windows),
!def(BITMAPDEBUG),
!def(RELEASE_VERSION),
def(TEST_TIME),
def(VMS),
(def(VMS)&!def(BSD)),
def(MSDOS),
def(PIPE_IPC),
!def(LITE),
!def(HAVE_ERFC),
!def(USE_SYSTEM_TIME),
def(BADRAND),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
def(RELEASE_VERSION),
def(PIPES),
!def(MSDOS),
def(BITMAPDEBUG),
!def(lint),
def(__ZTC__),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
