!def(BINARY_DATA_FILE),
!def(EXTENDED_COLOR_SPECS),
def(EAM_DATASTRINGS),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
def(USE_SYSTEM_TIME),
def(_Windows),
def(PIPES),
!def(BITMAPDEBUG),
!def(GPLT_X11_MODE),
def(TEST_STRFTIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(HAVE_LOCALE_H),
def(GNUPLOT_HISTORY),
(!def(PIPE_IPC)&def(__ZTC__)),
(!def(AMIGA_SC_6_1)&!def(LITE)),
def(EAM_HISTOGRAMS),
!def(GNUPLOT_HISTORY),
def(RELEASE_VERSION),
def(MSDOS),
def(GP_MACROS),
!def(MSDOS),
def(EXTENDED_COLOR_SPECS),
def(BACKWARDS_COMPATIBLE),
!def(GP_STRING_VARS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
True,
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
!def(RELEASE_VERSION),
!def(AMIGA_SC_6_1),
def(WITH_IMAGE),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
!def(OLDUNSETTICS),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
def(EAM_OBJECTS),
!def(WITH_IMAGE),
def(BITMAPDEBUG),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
def(BINARY_DATA_FILE),
def(GP_STRING_VARS),
!def(lint),
!def(HAVE_LOCALE_H),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(EAM_HISTOGRAMS),
def(OLDUNSETTICS),
(def(VMS)&!def(BSD)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(LITE),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
def(AMIGA_AC_5),
!def(__PUREC__),
def(PM3D),
def(__PUREC__),
(!def(PIPE_IPC)&def(VMS)),
def(TEST_TIME),
def(USE_MOUSE),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
