!def(HAVE_ERFC),
!def(lint),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(BADRAND),
!def(RELEASE_VERSION),
def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(BSD)),
!def(USE_SYSTEM_TIME),
def(MSDOS),
def(__ZTC__),
!def(LITE),
def(VMS),
def(TEST_TIME),
def(_Windows),
!def(HAVE_ERF),
!def(BADRAND),
def(USE_SYSTEM_TIME),
(def(X11)&def(USE_MOUSE)),
def(PIPE_IPC),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
def(PIPES),
def(BITMAPDEBUG),
!def(NO_LOCALE_H),
True,
def(PM3D),
def(RELEASE_VERSION),
!def(BITMAPDEBUG),
def(TEST_STRFTIME),
