!def(BITMAPDEBUG),
!def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(VMS),
def(BADRAND),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
def(TEST_TIME),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
True,
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
!def(lint),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
!def(MSDOS),
def(__ZTC__),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
def(NO_LOCALE_H),
!def(HAVE_ERF),
!def(LITE),
!def(BADRAND),
!def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(PIPES),
