!def(USE_SYSTEM_TIME),
def(PIPES),
!def(MSDOS),
def(TEST_TIME),
def(TEST_STRFTIME),
def(USE_MOUSE),
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(PM3D),
def(_Windows),
(def(VMS)&!def(BSD)),
def(PIPE_IPC),
!def(BADRAND),
!def(HAVE_ERF),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
(def(VMS)&!def(MSDOS)),
!def(lint),
!def(LITE),
True,
!def(RELEASE_VERSION),
def(BADRAND),
def(__ZTC__),
def(NO_LOCALE_H),
!def(HAVE_ERFC),
def(TEST_TERMDOC),
!def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
def(VMS),
