def(BADRAND),
def(VMS),
def(_Windows),
!def(MSDOS),
(!def(MSDOS)&!def(VMS)),
def(RELEASE_VERSION),
!def(lint),
!def(HAVE_ERF),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
True,
def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
!def(BITMAPDEBUG),
!def(LITE),
(def(X11)&def(USE_MOUSE)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPES),
!def(NO_LOCALE_H),
!def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
def(PM3D),
def(TEST_TIME),
!def(HAVE_ERFC),
!def(BADRAND),
def(MSDOS),
def(TEST_TERMDOC),
def(PIPE_IPC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
