!def(HAVE_ERFC),
def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
!def(MSDOS),
def(TEST_TERMDOC),
def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
True,
def(TEST_STRFTIME),
def(MSDOS),
!def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
def(PIPES),
def(TEST_TIME),
!def(LITE),
!def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)),
def(__ZTC__),
def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
def(VMS),
def(NO_LOCALE_H),
!def(BITMAPDEBUG),
!def(lint),
def(_Windows),
