!def(NO_LOCALE_H),
!def(HAVE_ERFC),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
def(TEST_STRFTIME),
def(VMS),
!def(lint),
(def(VMS)&!def(MSDOS)),
True,
def(__ZTC__),
def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
!def(HAVE_ERF),
def(BITMAPDEBUG),
def(PIPES),
def(MSDOS),
!def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
def(BADRAND),
!def(MSDOS),
def(_Windows),
