def(__ZTC__),
def(TEST_STRFTIME),
def(PIPES),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERF),
def(BADRAND),
!def(BITMAPDEBUG),
def(TEST_TERMDOC),
def(TEST_TIME),
!def(NO_LOCALE_H),
def(PIPE_IPC),
(def(VMS)&!def(MSDOS)),
(def(X11)&def(USE_MOUSE)),
!def(BADRAND),
!def(HAVE_ERFC),
!def(lint),
(!def(MSDOS)&!def(VMS)),
True,
(def(VMS)&!def(BSD)),
def(PM3D),
def(USE_SYSTEM_TIME),
def(NO_LOCALE_H),
!def(RELEASE_VERSION),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
!def(LITE),
!def(MSDOS),
!def(USE_SYSTEM_TIME),
def(VMS),
def(BITMAPDEBUG),
