!def(NO_LOCALE_H),
def(BADRAND),
True,
def(unix),
def(TEST_STRFTIME),
def(TEST),
def(LITE),
!def(OSK),
def(NO_LOCALE_H),
!def(BADRAND),
def(VMS),
!def(SYSTEM_TIME),
!def(HAVE_ERF),
def(TEST_TIME),
!def(lint),
def(_Windows),
(def(__TURBOC__)&!def(__ZTC__)&!def(_Windows)),
!def(LITE),
def(HAVE_SYS_UTSNAME_H),
def(SYSTEM_TIME),
!def(MSDOS),
