!def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
def(VMS),
def(PM3D),
!def(BADRAND),
def(BITMAPDEBUG),
def(PIPES),
(def(VMS)&!def(MSDOS)),
!def(HAVE_ERFC),
def(USE_MOUSE),
def(MSDOS),
def(NO_LOCALE_H),
!def(HAVE_ERF),
!def(RELEASE_VERSION),
def(TEST_TIME),
def(_Windows),
def(RELEASE_VERSION),
!def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
True,
def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
def(PIPE_IPC),
def(__ZTC__),
!def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
def(BADRAND),
!def(LITE),
