!def(MSDOS),
!def(lint),
(def(VMS)&!def(MSDOS)),
def(VMS),
def(TEST_STRFTIME),
def(PROTOTYPES),
!def(BITMAPDEBUG),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(BITMAPDEBUG),
!def(PROTOTYPES),
def(USE_MOUSE),
!def(RELEASE_VERSION),
def(TEST_TERMDOC),
True,
def(MSDOS),
def(TEST_TIME),
!def(GP_ISVAR),
def(PM3D),
!def(LITE),
def(USE_SYSTEM_TIME),
def(_Windows),
(def(VMS)&!def(BSD)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
!def(USE_SYSTEM_TIME),
def(__ZTC__),
def(RELEASE_VERSION),
