def(SYSTEM_TIME),
!def(lint),
!def(SYSTEM_TIME),
True,
(def(__TURBOC__)&!def(__ZTC__)&!def(_Windows)),
!def(BADRAND),
def(TEST_TIME),
def(LITE),
def(VMS),
!def(LITE),
def(NO_LOCALE_H),
!def(MSDOS),
def(BADRAND),
def(unix),
!def(HAVE_ERF),
def(_Windows),
!def(NO_LOCALE_H),
!def(OSK),
def(TEST_STRFTIME),
