!def(lint),
!def(BADRAND),
(!def(MSDOS)&!def(VMS)),
!def(MSDOS),
(def(VMS)&!def(MSDOS)),
def(USE_SYSTEM_TIME),
!def(HAVE_ERF),
def(TEST_TIME),
def(TEST_STRFTIME),
!def(BITMAPDEBUG),
!def(LITE),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(PIPES),
def(NO_LOCALE_H),
True,
def(VMS),
def(PM3D),
def(BADRAND),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
!def(RELEASE_VERSION),
def(TEST_TERMDOC),
def(__ZTC__),
def(_Windows),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
