!def(MSDOS),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
def(VMS),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(lint),
def(PIPES),
True,
def(NO_LOCALE_H),
def(TEST_STRFTIME),
def(TEST_TIME),
!def(LITE),
!def(BADRAND),
!def(BITMAPDEBUG),
!def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(HAVE_ERFC),
def(BADRAND),
def(USE_MOUSE),
def(RELEASE_VERSION),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
def(_Windows),
def(MSDOS),
def(PIPE_IPC),
!def(HAVE_ERF),
def(PM3D),
def(BITMAPDEBUG),
(!def(MSDOS)&!def(VMS)),
