!def(USE_SYSTEM_TIME),
!def(LITE),
!def(BITMAPDEBUG),
!def(NO_LOCALE_H),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(HAVE_ERF),
def(BITMAPDEBUG),
True,
def(VMS),
!def(HAVE_ERFC),
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
def(TEST_STRFTIME),
def(TEST_TIME),
!def(MSDOS),
def(__ZTC__),
def(_Windows),
def(MSDOS),
def(PIPES),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
!def(lint),
!def(BADRAND),
def(NO_LOCALE_H),
def(BADRAND),
