!def(lint),
!def(PROTOTYPES),
def(BITMAPDEBUG),
!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TIME),
def(_Windows),
!def(GP_ISVAR),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PROTOTYPES),
!def(USE_SYSTEM_TIME),
def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
def(PIPES),
def(PM3D),
def(MSDOS),
True,
(def(VMS)&!def(BSD)),
!def(RELEASE_VERSION),
def(PIPE_IPC),
(!def(MSDOS)&!def(VMS)),
def(VMS),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
def(__ZTC__),
!def(MSDOS),
def(USE_MOUSE),
def(TEST_TERMDOC),
