def(__ZTC__),
def(MSDOS),
def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
!def(LITE),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TIME),
True,
!def(HAVE_ERF),
(def(X11)&def(USE_MOUSE)),
!def(lint),
!def(RELEASE_VERSION),
!def(BADRAND),
!def(BITMAPDEBUG),
def(VMS),
!def(MSDOS),
!def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
def(PM3D),
(def(VMS)&!def(BSD)),
!def(NO_LOCALE_H),
def(USE_SYSTEM_TIME),
!def(HAVE_ERFC),
def(PIPE_IPC),
def(BADRAND),
def(_Windows),
