def(__ZTC__),
!def(HAVE_ERFC),
def(PIPES),
def(VMS),
!def(lint),
!def(BITMAPDEBUG),
def(BADRAND),
def(TEST_TIME),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_MOUSE),
!def(HAVE_ERF),
def(BITMAPDEBUG),
def(PIPE_IPC),
def(_Windows),
def(RELEASE_VERSION),
def(MSDOS),
def(USE_SYSTEM_TIME),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(USE_SYSTEM_TIME),
True,
def(TEST_TERMDOC),
!def(BADRAND),
!def(LITE),
!def(MSDOS),
(def(VMS)&!def(BSD)),
def(PM3D),
def(TEST_STRFTIME),
