def(__ZTC__),
!def(BITMAPDEBUG),
!def(HAVE_ERFC),
!def(BADRAND),
def(TEST_TIME),
!def(lint),
!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(BADRAND),
def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(MSDOS)&!def(VMS)),
def(VMS),
def(TEST_TERMDOC),
def(RELEASE_VERSION),
!def(RELEASE_VERSION),
True,
def(USE_SYSTEM_TIME),
!def(LITE),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)),
def(TEST_STRFTIME),
def(_Windows),
!def(MSDOS),
!def(HAVE_ERF),
def(PIPES),
def(NO_LOCALE_H),
