!def(__PUREC__),
(!def(PIPE_IPC)&def(VMS)),
!def(BITMAPDEBUG),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
def(EXTENDED_COLOR_SPECS),
def(TEST_TIME),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
!def(GP_STRING_VARS),
(def(VMS)&!def(MSDOS)),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
!def(EAM_HISTOGRAMS),
(!def(AMIGA_SC_6_1)&!def(LITE)),
def(MSDOS),
def(EAM_HISTOGRAMS),
def(PM3D),
!def(LITE),
def(GP_MACROS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(MSDOS),
def(OLDUNSETTICS),
def(GP_STRING_VARS),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
def(TEST_STRFTIME),
!def(GPLT_X11_MODE),
def(BITMAPDEBUG),
!def(GNUPLOT_HISTORY),
(!def(MSDOS)&!def(VMS)),
def(PIPE_IPC),
def(AMIGA_AC_5),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
!def(BINARY_DATA_FILE),
def(WITH_IMAGE),
def(USE_MOUSE),
def(BACKWARDS_COMPATIBLE),
!def(lint),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(_Windows),
!def(AMIGA_SC_6_1),
def(RELEASE_VERSION),
def(HAVE_LOCALE_H),
!def(EXTENDED_COLOR_SPECS),
!def(RELEASE_VERSION),
def(EAM_DATASTRINGS),
True,
!def(WITH_IMAGE),
(!def(PIPE_IPC)&def(__ZTC__)),
!def(HAVE_LOCALE_H),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
def(USE_SYSTEM_TIME),
def(EAM_OBJECTS),
def(TEST_TERMDOC),
def(__PUREC__),
def(BINARY_DATA_FILE),
!def(USE_SYSTEM_TIME),
def(PIPES),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(GNUPLOT_HISTORY),
(def(VMS)&!def(BSD)),
!def(OLDUNSETTICS),
