!def(MSDOS),
def(BITMAPDEBUG),
!def(BITMAPDEBUG),
!def(NO_LOCALE_H),
def(BADRAND),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(TEST_TERMDOC),
def(PIPES),
!def(LITE),
!def(USE_SYSTEM_TIME),
def(_Windows),
def(MSDOS),
def(__ZTC__),
!def(HAVE_ERFC),
(def(VMS)&!def(BSD)),
def(TEST_STRFTIME),
!def(BADRAND),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(VMS),
def(NO_LOCALE_H),
def(TEST_TIME),
(!def(MSDOS)&!def(VMS)),
!def(lint),
True,
!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)),
