!def(MSDOS),
def(NO_LOCALE_H),
def(PM3D),
def(TEST_STRFTIME),
def(PIPES),
!def(HAVE_ERFC),
def(RELEASE_VERSION),
def(__ZTC__),
!def(lint),
!def(LITE),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BADRAND),
def(TEST_TIME),
True,
(!def(MSDOS)&!def(VMS)),
!def(RELEASE_VERSION),
def(VMS),
def(TEST_TERMDOC),
def(MSDOS),
!def(HAVE_ERF),
(def(VMS)&!def(BSD)),
!def(NO_LOCALE_H),
!def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BITMAPDEBUG),
def(_Windows),
(def(VMS)&!def(MSDOS)),
def(BADRAND),
def(USE_SYSTEM_TIME),
