def(PROTOTYPES),
True,
!def(lint),
def(PIPE_IPC),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(MSDOS),
def(TEST_TIME),
!def(LITE),
def(BITMAPDEBUG),
!def(BITMAPDEBUG),
!def(HAVE_ERF),
def(TEST_STRFTIME),
def(BADRAND),
def(RELEASE_VERSION),
!def(USE_SYSTEM_TIME),
def(PIPES),
(def(VMS)&!def(MSDOS)),
def(PM3D),
def(_Windows),
def(USE_SYSTEM_TIME),
def(VMS),
!def(BADRAND),
def(__ZTC__),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(BSD)),
!def(RELEASE_VERSION),
!def(MSDOS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(PROTOTYPES),
def(USE_MOUSE),
