!def(EAM_HISTOGRAMS),
!def(MSDOS),
!def(USE_SYSTEM_TIME),
def(EAM_HISTOGRAMS),
def(TEST_STRFTIME),
def(GP_ISVAR),
def(PROTOTYPES),
!def(RELEASE_VERSION),
def(PIPES),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(!def(MSDOS)&!def(VMS)),
(def(VMS)&!def(MSDOS)),
(!def(PIPE_IPC)&def(VMS)),
def(USE_SYSTEM_TIME),
!def(lint),
def(TEST_TERMDOC),
!def(PROTOTYPES),
True,
def(RELEASE_VERSION),
!def(AMIGA_SC_6_1),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(GP_ISVAR),
def(PIPE_IPC),
def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(EAM_DATASTRINGS),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(USE_MOUSE),
def(PM3D),
def(_Windows),
def(MSDOS),
(!def(PIPE_IPC)&def(__ZTC__)),
