!def(HAVE_ERF),
!def(MSDOS),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
!def(LITE),
!def(lint),
!def(PROTOTYPES),
True,
def(BADRAND),
def(__ZTC__),
def(PROTOTYPES),
(def(VMS)&!def(BSD)),
def(PIPE_IPC),
!def(HAVE_ERFC),
(def(VMS)&!def(MSDOS)),
def(MSDOS),
(!def(MSDOS)&!def(VMS)),
!def(BADRAND),
def(TEST_TERMDOC),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(VMS),
def(USE_MOUSE),
def(TEST_TIME),
!def(RELEASE_VERSION),
def(PM3D),
def(BITMAPDEBUG),
def(_Windows),
!def(USE_SYSTEM_TIME),
def(TEST_STRFTIME),
def(PIPES),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
