!def(__PUREC__),
!def(OLDUNSETTICS),
def(GNUPLOT_HISTORY),
!def(EXTENDED_COLOR_SPECS),
def(MSDOS),
def(_Windows),
!def(lint),
def(PIPES),
def(USE_MOUSE),
def(WITH_IMAGE),
!def(GP_STRING_VARS),
def(GP_MACROS),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
!def(RELEASE_VERSION),
True,
def(EAM_OBJECTS),
def(AMIGA_AC_5),
!def(BITMAPDEBUG),
!def(AMIGA_SC_6_1),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
!def(WITH_IMAGE),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(TEST_TERMDOC),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(EXTENDED_COLOR_SPECS),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(LITE),
!def(GNUPLOT_HISTORY),
(def(VMS)&!def(BSD)),
(def(VMS)&!def(MSDOS)),
(!def(MSDOS)&!def(VMS)),
!def(USE_SYSTEM_TIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(BINARY_DATA_FILE),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
def(TEST_STRFTIME),
!def(BINARY_DATA_FILE),
def(BITMAPDEBUG),
!def(EAM_HISTOGRAMS),
!def(GPLT_X11_MODE),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
def(OLDUNSETTICS),
def(__PUREC__),
(!def(AMIGA_SC_6_1)&!def(LITE)),
def(HAVE_LOCALE_H),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
def(PM3D),
(!def(PIPE_IPC)&def(__ZTC__)),
def(EAM_DATASTRINGS),
!def(HAVE_LOCALE_H),
(!def(PIPE_IPC)&def(VMS)),
def(BACKWARDS_COMPATIBLE),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
def(GP_STRING_VARS),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
def(PIPE_IPC),
def(TEST_TIME),
!def(MSDOS),
def(EAM_HISTOGRAMS),
