!def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
!def(MSDOS),
(!def(PIPE_IPC)&def(__ZTC__)),
True,
!def(lint),
!def(EAM_HISTOGRAMS),
def(PIPES),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
(def(VMS)&!def(BSD)),
!def(LITE),
def(GP_MACROS),
def(TEST_STRFTIME),
!def(RELEASE_VERSION),
(!def(PIPE_IPC)&def(VMS)),
!def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
def(EAM_HISTOGRAMS),
def(__PUREC__),
def(BITMAPDEBUG),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BINARY_DATA_FILE),
def(PIPE_IPC),
def(PM3D),
def(USE_MOUSE),
def(EAM_DATASTRINGS),
!def(__PUREC__),
def(MSDOS),
def(RELEASE_VERSION),
def(GP_STRING_VARS),
def(BINARY_DATA_FILE),
(!def(APOLLO)&def(GP_STRING_VARS)),
def(_Windows),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
(def(VMS)&!def(MSDOS)),
def(TEST_TERMDOC),
(!def(MSDOS)&!def(VMS)),
def(AMIGA_AC_5),
!def(AMIGA_SC_6_1),
def(TEST_TIME),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
