!def(BITMAPDEBUG),
def(LITE),
(!def(MSDOS)&!def(VMS)),
def(BITMAPDEBUG),
def(__ZTC__),
def(PIPES),
def(_Windows),
!def(LITE),
def(MSDOS),
!def(NO_LOCALE_H),
!def(BADRAND),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
def(TEST_STRFTIME),
!def(HAVE_ERF),
!def(HAVE_ERFC),
True,
!def(lint),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
def(VMS),
!def(USE_SYSTEM_TIME),
def(BADRAND),
def(TEST_TERMDOC),
!def(MSDOS),
def(NO_LOCALE_H),
