!def(WITH_IMAGE),
def(TEST_STRFTIME),
def(WITH_IMAGE),
!def(BITMAPDEBUG),
def(TEST_TIME),
def(EXTENDED_COLOR_SPECS),
!def(AMIGA_SC_6_1),
def(TEST_TERMDOC),
def(PM3D),
def(USE_SYSTEM_TIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(GNUPLOT_HISTORY),
(!def(PIPE_IPC)&def(VMS)),
def(PIPES),
!def(OLDUNSETTICS),
(def(VMS)&!def(MSDOS)),
def(AMIGA_AC_5),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)&def(EAM_DATASTRINGS)),
!def(LITE),
def(HAVE_LOCALE_H),
def(PIPE_IPC),
def(__PUREC__),
(!def(AMIGA_SC_6_1)&def(EAM_HISTOGRAMS)),
!def(HAVE_LOCALE_H),
!def(RELEASE_VERSION),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(EAM_HISTOGRAMS)),
def(EAM_HISTOGRAMS),
(!def(AMIGA_SC_6_1)&!def(PM3D)),
(!def(MSDOS)&!def(VMS)),
(!def(PIPE_IPC)&def(__ZTC__)),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),
!def(EXTENDED_COLOR_SPECS),
!def(BINARY_DATA_FILE),
!def(lint),
(!def(AMIGA_SC_6_1)&def(USE_MOUSE)),
!def(EAM_HISTOGRAMS),
def(GP_MACROS),
def(OLDUNSETTICS),
def(GP_STRING_VARS),
def(USE_MOUSE),
!def(GP_STRING_VARS),
!def(USE_SYSTEM_TIME),
def(BINARY_DATA_FILE),
def(EAM_DATASTRINGS),
!def(__PUREC__),
def(GNUPLOT_HISTORY),
def(RELEASE_VERSION),
!def(MSDOS),
(def(VMS)&!def(BSD)),
!def(GPLT_X11_MODE),
def(BITMAPDEBUG),
(!def(AMIGA_SC_6_1)&!def(LITE)),
(!def(VOLATILE_REFRESH)&!def(EAM_HISTOGRAMS)),
True,
def(BACKWARDS_COMPATIBLE),
def(EAM_OBJECTS),
def(MSDOS),
(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS)),
def(_Windows),
(!def(AMIGA_SC_6_1)&def(EAM_DATASTRINGS)),
