!def(lint),
!def(MSDOS),
def(PM3D),
def(__ZTC__),
!def(USE_SYSTEM_TIME),
def(_Windows),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(VMS),
True,
def(BITMAPDEBUG),
!def(BADRAND),
def(PIPES),
!def(RELEASE_VERSION),
def(TEST_STRFTIME),
!def(HAVE_ERFC),
def(USE_SYSTEM_TIME),
def(RELEASE_VERSION),
def(USE_MOUSE),
def(BADRAND),
def(MSDOS),
(!def(MSDOS)&!def(VMS)),
!def(LITE),
def(TEST_TIME),
def(TEST_TERMDOC),
def(NO_LOCALE_H),
!def(BITMAPDEBUG),
!def(HAVE_ERF),
def(PIPE_IPC),
(def(VMS)&!def(BSD)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(MSDOS)),
