!def(MSDOS),
!def(NO_LOCALE_H),
def(TEST_STRFTIME),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(LITE),
(def(VMS)&!def(MSDOS)),
def(USE_SYSTEM_TIME),
True,
(def(VMS)&!def(BSD)),
def(__ZTC__),
(!def(MSDOS)&!def(VMS)),
def(PIPES),
def(BITMAPDEBUG),
def(NO_LOCALE_H),
!def(BITMAPDEBUG),
def(_Windows),
def(MSDOS),
!def(lint),
!def(USE_SYSTEM_TIME),
def(TEST_TERMDOC),
!def(HAVE_ERFC),
def(TEST_TIME),
def(VMS),
!def(HAVE_ERF),
def(BADRAND),
!def(BADRAND),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
