def(NO_LOCALE_H),
def(BITMAPDEBUG),
def(_Windows),
!def(lint),
!def(MSDOS),
!def(USE_SYSTEM_TIME),
!def(BITMAPDEBUG),
def(BADRAND),
def(USE_SYSTEM_TIME),
True,
!def(HAVE_ERF),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(LITE),
def(TEST_STRFTIME),
def(PIPES),
def(TEST_TERMDOC),
!def(NO_LOCALE_H),
!def(RELEASE_VERSION),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
def(VMS),
def(PIPE_IPC),
!def(HAVE_ERFC),
!def(BADRAND),
def(MSDOS),
(def(VMS)&!def(BSD)),
def(TEST_TIME),
(def(VMS)&!def(MSDOS)),
def(USE_MOUSE),
def(PM3D),
def(__ZTC__),
def(RELEASE_VERSION),
(!def(MSDOS)&!def(VMS)),
