def(BADRAND),
!def(HAVE_ERF),
!def(lint),
!def(MSDOS),
def(__ZTC__),
def(MSDOS),
!def(HAVE_ERFC),
!def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
(def(VMS)&!def(BSD)),
def(PIPE_IPC),
def(BITMAPDEBUG),
def(TEST_TERMDOC),
!def(RELEASE_VERSION),
def(USE_SYSTEM_TIME),
(!def(MSDOS)&!def(VMS)),
def(NO_LOCALE_H),
def(TEST_STRFTIME),
def(_Windows),
def(PM3D),
def(USE_MOUSE),
!def(LITE),
(def(VMS)&!def(MSDOS)),
def(TEST_TIME),
True,
def(VMS),
!def(BADRAND),
def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(PIPES),
