!def(HAVE_ERF),
def(LITE),
def(VMS),
!def(NO_LOCALE_H),
True,
(def(__TURBOC__)&!def(__ZTC__)&!def(_Windows)),
(!def(__ZTC__)&!def(vms)),
!def(LITE),
!def(lint),
def(SYSTEM_TIME),
!def(SYSTEM_TIME),
def(BADRAND),
!def(MSDOS),
def(TEST_STRFTIME),
def(vms),
def(unix),
!def(BADRAND),
def(NO_LOCALE_H),
def(TEST_TIME),
