!def(lint),
!def(BADRAND),
!def(LITE),
!def(HAVE_ERFC),
def(PIPE_IPC),
def(USE_SYSTEM_TIME),
def(BITMAPDEBUG),
def(PIPES),
def(VMS),
!def(USE_SYSTEM_TIME),
!def(NO_LOCALE_H),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
def(_Windows),
def(BADRAND),
def(TEST_TIME),
def(MSDOS),
!def(BITMAPDEBUG),
def(PM3D),
!def(HAVE_ERF),
!def(MSDOS),
def(RELEASE_VERSION),
def(TEST_STRFTIME),
def(TEST_TERMDOC),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
(def(VMS)&!def(BSD)),
(!def(MSDOS)&!def(VMS)),
def(USE_MOUSE),
!def(RELEASE_VERSION),
(def(VMS)&!def(MSDOS)),
True,
def(__ZTC__),
def(NO_LOCALE_H),
