def(TEST_TERMDOC),
def(PIPE_IPC),
!def(BITMAPDEBUG),
def(MSDOS),
!def(MSDOS),
!def(BADRAND),
def(PM3D),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(LITE),
(def(X11)&def(USE_MOUSE)),
!def(HAVE_ERF),
def(__ZTC__),
def(BITMAPDEBUG),
def(_Windows),
def(TEST_STRFTIME),
True,
!def(HAVE_ERFC),
!def(RELEASE_VERSION),
def(BADRAND),
def(PIPES),
!def(USE_SYSTEM_TIME),
def(VMS),
def(NO_LOCALE_H),
!def(NO_LOCALE_H),
(!def(MSDOS)&!def(VMS)),
def(TEST_TIME),
(def(VMS)&!def(BSD)),
def(USE_SYSTEM_TIME),
(def(VMS)&!def(MSDOS)),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(lint),
def(RELEASE_VERSION),
