def(TEST_TERMDOC),
def(VMS),
def(PIPES),
!def(lint),
!def(LITE),
(def(VMS)&!def(BSD)),
def(LITE),
def(TEST_TIME),
def(NO_LOCALE_H),
(def(TEST_TIME)&!def(HAVE_SYS_TIMEB_H)),
!def(BITMAPDEBUG),
def(BITMAPDEBUG),
def(USE_SYSTEM_TIME),
!def(USE_SYSTEM_TIME),
!def(MSDOS),
def(MSDOS),
(def(VMS)&!def(MSDOS)&(def(MSDOS)|def(VMS))),
!def(BADRAND),
def(__ZTC__),
def(_Windows),
(def(VMS)&!def(MSDOS)),
True,
def(BADRAND),
(!def(MSDOS)&!def(VMS)),
!def(NO_LOCALE_H),
def(TEST_STRFTIME),
!def(HAVE_ERF),
!def(HAVE_ERFC),
