!def(TEENSY_SUPPORT),mod,exclusion,Variable,2
(def(RFM12_ASK_2272_SUPPORT)&def(TEENSY_SUPPORT)),getIntFromString,parameter,Function,2
!def(TEENSY_SUPPORT),rfm12_setpower,additon,Function,2
