!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,!def(LITE)
True,def(TEST_STRFTIME)
!def(HAVE_ERF),True
!def(HAVE_ERFC),True
!def(USE_SYSTEM_TIME),True
def(USE_SYSTEM_TIME),True
!def(BADRAND),True
True,(def(VMS)&!def(MSDOS))
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
True,!def(HAVE_ERF)
True,!def(NO_LOCALE_H)
def(TEST_TERMDOC),True
def(TEST_STRFTIME),True
True,def(NO_LOCALE_H)
True,!def(USE_SYSTEM_TIME)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,def(BITMAPDEBUG)
True,!def(BADRAND)
!def(LITE),True
True,!def(HAVE_ERFC)
def(BADRAND),True
