!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
!def(HAVE_ERF),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
True,!def(BADRAND)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
!def(USE_SYSTEM_TIME),True
def(BADRAND),True
True,(def(VMS)&!def(MSDOS))
True,def(BITMAPDEBUG)
def(TEST_STRFTIME),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
!def(BADRAND),True
def(TEST_TERMDOC),True
True,def(TEST_STRFTIME)
True,def(USE_SYSTEM_TIME)
True,!def(HAVE_ERFC)
True,!def(HAVE_ERF)
def(USE_SYSTEM_TIME),True
True,!def(NO_LOCALE_H)
def(PM3D),True
True,def(NO_LOCALE_H)
