!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,!def(GP_ISVAR)
def(USE_SYSTEM_TIME),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(PM3D),True
True,def(TEST_STRFTIME)
def(TEST_STRFTIME),True
True,(def(VMS)&!def(MSDOS))
!def(USE_SYSTEM_TIME),True
def(TEST_TERMDOC),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(TEST_TIME),def(USE_SYSTEM_TIME)
True,def(USE_SYSTEM_TIME)
True,def(BITMAPDEBUG)
(!def(AMIGA_SC_6_1)&!def(PM3D)&def(USE_ULIG_FILLEDBOXES)),True
!def(GP_ISVAR),True
(!def(AMIGA_SC_6_1)&!def(PM3D)),True
True,!def(AMIGA_SC_6_1)
True,def(PROTOTYPES)
True,!def(USE_SYSTEM_TIME)
def(PROTOTYPES),True
