!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
!def(USE_SYSTEM_TIME),True
def(USE_SYSTEM_TIME),True
True,def(TEST_STRFTIME)
def(TEST_TIME),def(USE_SYSTEM_TIME)
!def(HAVE_ERF),True
True,def(USE_SYSTEM_TIME)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,!def(HAVE_ERF)
!def(HAVE_ERFC),True
def(TEST_TERMDOC),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
True,!def(HAVE_ERFC)
def(PM3D),True
def(TEST_STRFTIME),True
True,!def(NO_LOCALE_H)
True,(def(VMS)&!def(MSDOS))
True,def(PM3D)
True,!def(BADRAND)
def(BADRAND),True
!def(BADRAND),True
True,def(BITMAPDEBUG)
True,def(NO_LOCALE_H)
