!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(NO_LOCALE_H),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
True,def(TEST_TIME)
!def(OSK),True
True,!def(HAVE_ERFC)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
!def(HAVE_ERF),True
!def(NO_LOCALE_H),True
!def(LITE),True
!def(BADRAND),True
def(BADRAND),True
True,!def(NO_LOCALE_H)
True,!def(HAVE_ERF)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(MSDOS),True
!def(HAVE_ERFC),True
def(TEST_STRFTIME),True
True,def(BADRAND)
True,def(USE_SYSTEM_TIME)
True,!def(BADRAND)
!def(USE_SYSTEM_TIME),True
def(USE_SYSTEM_TIME),True
def(TEST_TERMDOC),True
