!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
True,!def(NO_LOCALE_H)
def(TEST_STRFTIME),True
!def(HAVE_ERF),True
True,!def(USE_SYSTEM_TIME)
!def(USE_SYSTEM_TIME),True
def(USE_SYSTEM_TIME),True
True,def(BITMAPDEBUG)
True,def(NO_LOCALE_H)
True,!def(BADRAND)
def(TEST_TERMDOC),True
!def(LITE),True
!def(HAVE_ERFC),True
def(BADRAND),True
!def(BADRAND),True
True,(def(VMS)&!def(MSDOS))
True,!def(HAVE_ERF)
True,!def(LITE)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,!def(HAVE_ERFC)
True,def(TEST_STRFTIME)
