!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(BADRAND),True
!def(BADRAND),True
True,def(NO_LOCALE_H)
True,!def(HAVE_ERFC)
True,!def(NO_LOCALE_H)
def(USE_SYSTEM_TIME),True
def(TEST_STRFTIME),True
True,def(BITMAPDEBUG)
!def(USE_SYSTEM_TIME),True
True,(def(VMS)&!def(MSDOS))
def(TEST_TIME),def(USE_SYSTEM_TIME)
!def(HAVE_ERF),True
def(PM3D),True
def(TEST_TERMDOC),True
True,def(TEST_STRFTIME)
True,def(USE_SYSTEM_TIME)
True,!def(BADRAND)
True,!def(HAVE_ERF)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
True,def(PM3D)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
