!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(BADRAND),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(USE_SYSTEM_TIME),True
True,!def(HAVE_ERFC)
!def(USE_SYSTEM_TIME),True
True,def(BITMAPDEBUG)
True,!def(HAVE_ERF)
True,!def(NO_LOCALE_H)
True,!def(BADRAND)
True,(def(VMS)&!def(MSDOS))
True,def(NO_LOCALE_H)
!def(HAVE_ERFC),True
True,def(TEST_STRFTIME)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
!def(HAVE_ERF),True
def(TEST_STRFTIME),True
!def(BADRAND),True
True,!def(USE_SYSTEM_TIME)
def(USE_MOUSE),True
def(PM3D),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
