!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,def(BITMAPDEBUG)
!def(HAVE_ERFC),True
def(USE_SYSTEM_TIME),True
!def(HAVE_ERF),True
def(TEST_STRFTIME),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(NO_LOCALE_H),True
True,def(NO_LOCALE_H)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(TEST_TIME),def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
!def(BADRAND),True
!def(USE_SYSTEM_TIME),True
!def(LITE),True
True,def(TEST_STRFTIME)
True,!def(HAVE_ERF)
True,def(USE_SYSTEM_TIME)
True,!def(HAVE_ERFC)
True,(def(VMS)&!def(MSDOS))
def(BADRAND),True
True,!def(USE_SYSTEM_TIME)
True,!def(NO_LOCALE_H)
True,!def(BADRAND)
