!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
(def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
def(EAM_OBJECTS),True
(!def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
def(TEST_TERMDOC),True
!def(EXTENDED_COLOR_SPECS),(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
!def(VOLATILE_REFRESH),True
def(HAVE_LOCALE_H),True
def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
def(EXTENDED_COLOR_SPECS),(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
def(BACKWARDS_COMPATIBLE),True
def(USE_MOUSE),True
!def(CHECK_HEAP_USE),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(USE_STATS),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
True,(!def(NO_GIH)&!def(CHECK_HEAP_USE))
True,(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY))
True,def(BACKWARDS_COMPATIBLE)
def(__PUREC__),def(USE_STATS)
!def(EAM_OBJECTS),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
True,(!def(VOLATILE_REFRESH)&def(EAM_OBJECTS))
def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
!def(EAM_OBJECTS),True
!def(USE_SYSTEM_TIME),True
def(CHECK_HEAP_USE),True
!def(HAVE_LOCALE_H),True
!def(BACKWARDS_COMPATIBLE),(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
(def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
!def(GNUPLOT_HISTORY),True
True,!def(VOLATILE_REFRESH)
(!def(BACKWARDS_COMPATIBLE)&def(GNUPLOT_HISTORY)),def(GNUPLOT_HISTORY)
def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
True,(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
!def(USE_SYSTEM_TIME),def(USE_STATS)
(def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
!def(BACKWARDS_COMPATIBLE),!def(EAM_OBJECTS)
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),!def(CHECK_HEAP_USE)
!def(HAVE_STRSTR),True
(!def(HAVE_INDEX)&!def(HAVE_STRCHR)),True
(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE)),True
!def(GPLT_X11_MODE),True
!def(BACKWARDS_COMPATIBLE),def(BACKWARDS_COMPATIBLE)
True,(!def(EAM_OBJECTS)&def(BACKWARDS_COMPATIBLE))
True,!def(EXTENDED_COLOR_SPECS)
(def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
True,!def(EAM_OBJECTS)
def(__PUREC__),True
(def(BACKWARDS_COMPATIBLE)&def(GP_MACROS)),def(GP_MACROS)
True,!def(HAVE_LOCALE_H)
def(HAVE_LOCALE_H),!def(HAVE_STRSTR)
def(EXTENDED_COLOR_SPECS),!def(EXTENDED_COLOR_SPECS)
!def(EXTENDED_COLOR_SPECS),True
True,def(USE_STATS)
True,def(USE_MOUSE)
def(USE_STATS),!def(CHECK_HEAP_USE)
!def(USE_SYSTEM_TIME),def(CHECK_HEAP_USE)
True,!def(BITMAPDEBUG)
True,def(TEST_STRFTIME)
True,!def(CHECK_HEAP_USE)
def(GNUPLOT_HISTORY),True
def(EXTENDED_COLOR_SPECS),True
!def(NO_CROSSREFS),(!def(HAVE_INDEX)&!def(HAVE_STRCHR))
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),def(CHECK_HEAP_USE)
(!def(BACKWARDS_COMPATIBLE)&!def(GNUPLOT_HISTORY)),True
True,!def(BACKWARDS_COMPATIBLE)
!def(EXTENDED_COLOR_SPECS),def(EXTENDED_COLOR_SPECS)
True,!def(NO_CROSSREFS)
def(BACKWARDS_COMPATIBLE),!def(BACKWARDS_COMPATIBLE)
!def(BACKWARDS_COMPATIBLE),!def(HAVE_LOCALE_H)
True,def(HAVE_LOCALE_H)
def(USE_STATS),True
def(TEST_STRFTIME),True
True,!def(USE_SYSTEM_TIME)
True,def(EXTENDED_COLOR_SPECS)
(!def(NO_GIH)&!def(CHECK_HEAP_USE)),def(CHECK_HEAP_USE)
True,def(GNUPLOT_HISTORY)
!def(CHECK_HEAP_USE),True
(!def(BACKWARDS_COMPATIBLE)&def(USE_MOUSE)),def(USE_MOUSE)
!def(BACKWARDS_COMPATIBLE),True
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),!def(EAM_OBJECTS)
def(USE_SYSTEM_TIME),True
!def(HAVE_GD_PNG),True
(!def(HAVE_BCOPY)&!def(HAVE_MEMCPY)),True
def(CHECK_HEAP_USE),(!def(NO_GIH)&!def(CHECK_HEAP_USE))
True,def(CHECK_HEAP_USE)
(!def(BACKWARDS_COMPATIBLE)&def(EAM_OBJECTS)),def(EAM_OBJECTS)
def(VOLATILE_REFRESH),True
(!def(CHECK_HEAP_USE)&def(NO_GIH)&(def(NO_GIH)|def(CHECK_HEAP_USE))),True
True,!def(HAVE_STRSTR)
(!def(NO_GIH)&!def(CHECK_HEAP_USE)),True
