!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
True,!def(HAVE_ERFC)
!def(USE_SYSTEM_TIME),True
True,!def(LITE)
True,(def(VMS)&!def(MSDOS))
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
def(BADRAND),True
def(TEST_STRFTIME),True
True,!def(HAVE_ERF)
def(USE_SYSTEM_TIME),True
True,def(USE_SYSTEM_TIME)
def(TEST_TIME),def(USE_SYSTEM_TIME)
True,!def(USE_SYSTEM_TIME)
True,!def(BADRAND)
True,def(TEST_STRFTIME)
!def(BADRAND),True
True,!def(NO_LOCALE_H)
True,def(NO_LOCALE_H)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
!def(LITE),True
True,def(BITMAPDEBUG)
!def(HAVE_ERF),True
