!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
True,def(BITMAPDEBUG)
True,!def(HAVE_ERF)
True,!def(HAVE_ERFC)
def(TEST_TERMDOC),True
!def(BADRAND),True
True,def(TEST_STRFTIME)
True,(def(VMS)&!def(MSDOS))
def(USE_SYSTEM_TIME),True
def(USE_MOUSE),True
!def(USE_SYSTEM_TIME),True
True,def(USE_SYSTEM_TIME)
!def(HAVE_ERF),True
def(PM3D),True
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(TEST_STRFTIME),True
True,def(PROTOTYPES)
def(PROTOTYPES),True
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
