!def(USE_SYSTEM_TIME),def(USE_SYSTEM_TIME)
def(TEST_TIME),!def(USE_SYSTEM_TIME)
def(TEST_STRFTIME),True
True,def(BITMAPDEBUG)
True,!def(HAVE_ERFC)
def(USE_SYSTEM_TIME),!def(USE_SYSTEM_TIME)
!def(HAVE_ERF),True
True,def(USE_SYSTEM_TIME)
!def(HAVE_ERFC),True
True,!def(NO_LOCALE_H)
!def(BADRAND),True
True,(def(VMS)&!def(MSDOS))
True,!def(BADRAND)
!def(USE_SYSTEM_TIME),True
True,def(NO_LOCALE_H)
def(USE_SYSTEM_TIME),True
def(TEST_TIME),def(USE_SYSTEM_TIME)
def(TEST_TERMDOC),True
def(PM3D),True
def(BADRAND),True
True,!def(HAVE_ERF)
True,def(TEST_STRFTIME)
